QuestionType,Asin,AnswerTime,UnixTime,Question,AnswerType,Answer,Category
yes/no,B0001WW2FI,29 days ago,,Does this fit the Liftoff revolution pet? (My original says size 8.),Y,Yes this will fit,Appliances
yes/no,B0001WW2FI,"Apr 6, 2015",1428303600.0,does this fit the model 89Q?,Y,Yes,Appliances
open-ended,B0001WW2FI,"Mar 22, 2015",1427007600.0,Is this filter washable? Can you rinse it with water? I saw that it's not dishwashing safe.,,This Filter can not be washed in any way it is a paper material,Appliances
yes/no,B0001WW2FI,"Jan 20, 2015",1421740800.0,Does this filter fit model #8975?,?,This filter will be a bit too big for your CleanView which uses a style 9 filter. The correct style 9 filters can be ordered here http://www.amazon.com/Bissell-Pleated-Motor-Filter-32076/dp/B00008URRN/,Appliances
open-ended,B0001WW2FI,"Nov 26, 2014",1416988800.0,"What is the actual size of the filter? I have a Bissel Momentum 3910, which the description says it fits, but then the measurements are off. Thanks!",,It measures 9-1/4 inches long by 2-11/16 inches wide and is 7/16 thick and fits perfectly in my model 3990.,Appliances
open-ended,B0001WW2FI,"May 5, 2014",1399273200.0,does this fit the momentum vaccum? Model: 82G7-1?,,Yes it does. I have this model.,Appliances
yes/no,B0001WW2FI,"Jan 19, 2015",1421654400.0,does this filter work on all style 8?,?,"It did not fit my 3760-1, as per my review.",Appliances
yes/no,B0001WW2FI,"May 4, 2014",1399186800.0,does this filter work on all style 8 vacuums?,?,I have the Bissell lift off........cannot speak for other models,Appliances
open-ended,B0002GD194,"Oct 6, 2014",1412578800.0,"Should this filter be replaced every year? If not, how do you clean it?",,"Hi Marlene, First I should point out this product is not really a filter. It's a wick that absorbs and holds moisture so the blower fan can push air through it and drive the water into the surrounding environment. How often it needs replacing depends upon how often the humidifier cycles and on the mineral content of your water. If you run your humidifier a lot and you are not using filtered water, then these wicks typically need replacing about every three months (at least). I use filtered water in my humidifier to reduce the mineral content but I still have to replace the wick every 5-6 months. It's pretty simple to determine when your wick is clogged with minerals because the humidifier will basically run non-stop as there will be no moisture in the wick therefore no moisture going into the air. These wicks are not really cleanable because they are too fragile. Once they get clogged with minerals (i.e. ""lime"") they need to be disposed of and replaced.",Appliances
yes/no,B0002GD194,"Nov 23, 2014",1416729600.0,does this fit ED11 600 device?,?,"Box says it fits 600, 400, and ED11.",Appliances
yes/no,B0002GD194,"Dec 30, 2014",1419926400.0,"I have a water softener, use the recommended setting of 43% hum. level, and wick lasted one mo. &amp; a day. Do replacement wicks last longer?",?,We use this on a humidifier and the wick last us one season. We replace this item once a year.,Appliances
open-ended,B0002GD194,"Apr 10, 2015",1428649200.0,hat is dimention of ESK7V1051?W,,"9.75"" x 17"" x 5""",Appliances
yes/no,B0002GD194,"Jan 8, 2015",1420704000.0,Does this fit a Bemis 821-000? Thanks.,?,"I don't know, sorry.",Appliances
yes/no,B0002GD194,"Nov 14, 2014",1415952000.0,"Does this work for Bemis humidifiers? When I search for a Bemis 1041, this is what comes up.",Y,Yes,Appliances
open-ended,B0002GD194,"Oct 23, 2014",1414047600.0,"Does this say ""Essick"" on the plastic outer body? Does it come in a genuine Essick retail package?",,Yes.,Appliances
open-ended,B0002GD194,"Apr 4, 2014",1396594800.0,What are to over all dimensions for the 1041 filter,,"the dimension height is 9 3/4 and width 16 3/4, depth is 5 inches. hope this will help. any others questions, please ask. have a great weekend !!! rich and sandy",Appliances
yes/no,B0002GD194,"May 3, 2013",1367564400.0,Will this fit the Bemis humidifier...looking for part 1041 for a Bemis and this came up on my search?,?,"I believe the answer is yes, as they effectively are the same company now.",Appliances
yes/no,B0002GD194,"May 7, 2014",1399446000.0,"It shows quantity ""6"". Are there six filters for the price shown?",?,"Not sure where the quantity is located, except in shopping cart? But, No the price of $18.10 is for one. Locally at my hardware store they sell at higher prices",Appliances
open-ended,B0002GTTRC,"Oct 25, 2014",1414220400.0,"Do I need to soak the new GSWF water filter in water before installing? If so, how long?",,The directions do not indicate soaking. I have installed several filters and never soaked one. Filters performed well.,Appliances
yes/no,B0002GTTRC,"Mar 10, 2015",1425970800.0,Does this fit PFE28RSHSS? I have the GE french door fridge.,?,You'll have to check your manual or the filter itself to see if this filter fits. My refrigerator does not have french doors.....Good Luck,Appliances
open-ended,B0002GTTRC,"Mar 3, 2015",1425369600.0,how do you remove old filter,,"Push cover to open it. It drops down. Undscrew old filter, insert new one . Voila.",Appliances
yes/no,B0002GTTRC,"Jan 23, 2015",1422000000.0,Does it fit PF SW2MDCA SS,?,"Sorry, don't know what PF SW2MDCA SS is. I can tell you that this filter works, as advertised, for the GE refrigerator it was designed to fit.",Appliances
yes/no,B0002GTTRC,"Dec 17, 2014",1418803200.0,Will this fit indoor model numer PS8688061?,N,I don't believe so. Looked at the model number and it does not match your number. You can look up the correct filter online.GE site.,Appliances
yes/no,B0002GTTRC,"Aug 21, 2014",1408604400.0,does this fit GFE27GSDDSS?,?,"Hi Aimee , Just go home. Will check for you. The one I have works well and no problems. Will contact you later. Went running and need a shower. Ron",Appliances
open-ended,B0002GTTRC,"Aug 9, 2014",1407567600.0,Just bought a GSWF cartridge to fit CSCP5UGXCFSS fridge. Prior I used Swift water filter that was fine. The GE one won't fit any suggestions?,,"When I looked up your model refrigerator, it said it needs an MSWF filter. I could not find whether the MSWF is compatible with the GSWF.",Appliances
yes/no,B0002GTTRC,"May 6, 2014",1399359600.0,Will it work with GFE29HMDAES?,?,"Hi, if yours call for the same filter as the one I bought? Then buy it. Mine works perfect, was GE brand works perfect and save a few bucks with shipping included. Hope this answers your question? Was GE product I received too. So every happy with purchase.",Appliances
yes/no,B0002GTTRC,"Jan 23, 2014",1390464000.0,"Can this filter be used as an inline filter for refrigerator ice maker (no water dispenser)? I have been using the yellow twist and lock product specifically marketed for the purpose, but was told the green filter was more effective.",N,"No, I don't believe so.",Appliances
open-ended,B0002GTTRC,"Aug 26, 2013",1377500400.0,This will work with GE MSWF Refrigerator?,,I have a GE PDS22S/SBRSS and it works for mine.,Appliances
open-ended,B0002HMUBI,"Mar 20, 2015",1426834800.0,What all is included in this product? What else will I need to install this if I already have water in my refrigerator?,,"Peter, basically what you see is what you get. Basically a filter cartridge and a mounting unit has quick connection fittings for you water line.",Appliances
open-ended,B0002HMUBI,"Feb 6, 2015",1423209600.0,I just replaced the twist and lock filter.but it makes a lot of noise when I open the tap ? can anyone help?PL?,,"I had the same problem recently and replaced the filter and ""flo thru unit"" and it work fine now. The entire unit is available through Amazon. I think the ""flo thru unit"" just wears out over time.",Appliances
yes/no,B0002HMUBI,"Feb 1, 2015",1422777600.0,I want to use this filer in combination with the filter in my refrig. Is this possible,Y,"Yes, you can use it with the filter in your frig. This one is external to the appliance and fits in the middle of the water line.",Appliances
yes/no,B0002HMUBI,"Feb 6, 2015",1423209600.0,Can this filter be used under a sink?,Y,yes i use it under the sink it has been fine for all 3 years i was just changing the filter alone until recently it makes a lot noise after i changed it,Appliances
yes/no,B0002HMUBI,"Apr 12, 2014",1397286000.0,I just need the screw in filter replacement..is this that? the price is great...,Y,"It screws in half a turn, that's all. Depends on the model you have.",Appliances
open-ended,B0002HMUBI,"Mar 5, 2014",1394006400.0,do you change/replace the whole unit or an insert? does it take 1/4 inch pipe to connect?,,Once installed you only have to change the twist off/on filter cartridge. The unit has push in connectors for 1/4 in tubing and little plastic locks/clips to lock the tubing in the unit. Mine is copper tubing and the unit is working fine.,Appliances
yes/no,B0002HMUBI,"Oct 27, 2014",1414393200.0,will this filter accept a copper water line,Y,Actually this unit WILL accept a standard icemaker copper water line. I've had one installed on my refrigerator for over 5 years and never had a problem with it.,Appliances
open-ended,B0002I209O,"Feb 11, 2014",1392105600.0,How many filters are included in an order or what is the quantity?,,1 filter per box,Appliances
open-ended,B0002I209O,19 days ago,,how do you replace H65-C Filter?,,"on my particular humidifier, the fan portion lifts up exposing the filter. the filter is then picked up out of a pan and you will replace it with a new one in the same spot. The filter will be wet when you pull it so be careful not to drip on floors that you may not want wet. Good luck",Appliances
open-ended,B0002I209O,"Dec 10, 2014",1418198400.0,Please confirm this is an official H65-C. That fits my unit. Another vendor did a replacement that doesn't fit.,,"I been using them for 2 years and they fit fine, and I just put my latest one in last week",Appliances
yes/no,B0002I209O,"Jan 2, 2014",1388649600.0,Does it fit a homes hm1230 humidifier,?,According to the model numbers listed on the box it will not fit.,Appliances
yes/no,B0002I209O,"Nov 17, 2013",1384675200.0,Does it fit Holmes Model 1840?,Y,"It does. In the product description, it shows the following. Wick filter fits Holmes HM1800, 1840, 1845, 1850, 1851, 1855, 1865, 1888, 1889, 1895, 1975, 2059, 2060W, 2090, 3000, 3850 Note: 3800,3850 needs 3 fltrs, 4000 needs 2 filters (HWF-65); Sunbeam SCM1895, 1896, SCM1866 (SF206); White-Westinghouse WWHM1840 2090ZE (WWH650); GE 106609, 106663, 106763; Bionaire BCM-1845, 1855",Appliances
yes/no,B0002I209O,"Mar 19, 2013",1363676400.0,Do you install these filters with the metal reinforced side up?,?,The metal mesh should face outward.,Appliances
open-ended,B0002KXMT4,"Oct 8, 2006",1160290800.0,Capacity: How much clothes fits in a 6LB washer?,,I have the 4.9 lb. model and it came with a chart - I can wash 2 full size towels so you should be able to wash 3 - I can wash a queen size sheet set so you should be able to do a king size and I wash 2 pair of sweat pants you'll be able to do 3 - 4 tee-shirts so you can do 5 or 6 - 5 blouses so you can do 6 or 7 - hope it helps! what I have found is if I load it loose it's fine.,Appliances
open-ended,B0002KXMT4,"Mar 30, 2008",1206860400.0,"Should I disconnect the hose FROM the machine after washing? And remove the adaptor from sink fawcet? Also, should I take off the adaptor from the sink fawcet each time?",,I leave everything on and it doesn't bother me. I've been using my washing machine for more than 5 years now. Enjoy!,Appliances
yes/no,B0002KXMT4,"Dec 21, 2013",1387612800.0,Can you set the controls so that it just does a spin? I just want to get the rinse water out of a wool sweater.,Y,Yes. All you have to do is to hit the cycle button and do the spin cycle :),Appliances
open-ended,B0002KXMT4,"Mar 11, 2015",1426057200.0,Please help my portable haier inlet hose leaks.the end going into the machine. Just bought my machine yesterday. Any suggestions?,,The law states a product must work as designed and you are entitled to a FREE replacement. My machine was broken somehow and it was replaced within a week free.,Appliances
yes/no,B0002KXMT4,"Dec 26, 2013",1388044800.0,can it be settled on a bathtub?,N,No it needs to be On flat surface,Appliances
yes/no,B0002KXMT4,"Apr 3, 2015",1428044400.0,Can this model 1 cubic handle a king size sheet set?,?,"I tested queen size and it's fit, I don't know if it's ok for the king size!",Appliances
open-ended,B0002KXMT4,"Jan 19, 2014",1390118400.0,"I'm still researching, but has anyone tried adapting this into a 220 volt system for overseas use?",,"No I haven't and have had no reason too. You could go to Home Depot and ask them (electrical dept) the question (no I don't work for them). I myself dought it can be done as the whole electrical system might have to be changed. I do know that small electrical appliances like a hairdryer, etc can be with a special adapter.",Appliances
open-ended,B0002KXMT4,"Feb 26, 2015",1424937600.0,How can I add water manually? I tried to put water directly but it goes away,,"You have to leave the hose as it is with it connected to the back, if you leave it to lie on the ground, all the water will run out, there has to be some elevation",Appliances
open-ended,B0002KXMT4,"Jun 30, 2014",1404111600.0,how do you hook it up to a regular washer faucet with both a cold water inlet and a hot water inlet as it lookslike it only has one hose to conect to,,You would need some sort of Y connector to merge both hot and cold lines into one.,Appliances
open-ended,B0002KXMT4,"Dec 14, 2008",1229241600.0,"Replacement Quick Sink Adapter: My quick sink adapter was misplaced, does anyone know where I can get a new one?",,Home Depot sink and faucet section it is small package on one of the bottom rows ask the helpers over there it is around 7-8$ they are the same ones for small dishwasher so i can assure you that it will work Also you can check Lowe's,Appliances
yes/no,B0002TSA8I,"Feb 15, 2014",1392451200.0,"Does this fit SCM7809 which requires an ""E""?",?,"I only know this filter works for me. You could try it and if it doesn't work, see if you can return it.",Appliances
yes/no,B0002TSA8I,"Nov 23, 2013",1385193600.0,does this filter fit hm7808?,Y,"Yep, should fit just fine. The HM-7808 uses HWF-100 filters.",Appliances
open-ended,B0002TSA8I,"Dec 3, 2014",1417593600.0,where can I get HWF-23 filters for my HM1200 Holmes humidiier?,,Amazon has filters for the HWF-23 available at http://www.amazon.com/Holmes-Replacement-Filter-HWF23-2-pack/dp/B009CEVUTU/ref=sr_1_1?s=home-garden&ie=UTF8&qid=1417616046&sr=1-1&keywords=HWF-23.,Appliances
yes/no,B0002TSA8I,"May 29, 2014",1401346800.0,Does it fit BCM7910pf model?,?,I had to cut off about 1.25 inch off the long edge - it fits !!! :),Appliances
yes/no,B0002TSA8I,"Jan 14, 2015",1421222400.0,"The last time I bought Holmes instead of Bionaire, the filter didn't have the blue knob that is pictured. Does this one have it?",Y,Yes.,Appliances
yes/no,B0002TSA8I,21 days ago,,"Will this fit Bonaire BCM 658, filter BWF100P/HWF100P?",Y,Yes they should fit just fine !,Appliances
yes/no,B0002TSA8I,"Feb 20, 2015",1424419200.0,will this work in Bionaire model no. BCM658?,Y,Yes.,Appliances
yes/no,B0002TSA8I,"Feb 15, 2015",1423987200.0,Does this fit the RWF 813?,N,No,Appliances
yes/no,B0002TSA8I,"Feb 13, 2015",1423814400.0,Does it fit the Sunbeam Model 1117,N,No,Appliances
yes/no,B0002TSA8I,"Jan 18, 2015",1421568000.0,Does this filter fit the Bonaire BCM740?,Y,yes it fit my model,Appliances
yes/no,B0002UMYDO,"Dec 2, 2013",1385971200.0,I'm looking for an electric can opener for my grandmother who has arthritis. Is this one that would be easy for her to use?,?,This can opener doesn't require any sustained pressure to open cans. Once you get the can started it will finish opening automatically.,Appliances
open-ended,B0002UMYDO,"Sep 7, 2013",1378537200.0,Can you clean the blade easily? I quit using our old one because I could not remove all the food crud. Best way to clean it?,,My wife says to take off the entire head assembly and hold it under running water. She also says that the drive gear catches on the paper of the can and to remove it prior to opening can. The lid also is difficult to pierce and the handle needs to be held down to get it going. She is not really satisfied with it actually.,Appliances
open-ended,B0002UMYDO,"Apr 16, 2014",1397631600.0,How long is the cord?,,Cord is 30 inches long.,Appliances
yes/no,B0002UMYDO,"Jan 31, 2014",1391155200.0,"I haven't purchase it yet, is the lid sharp after it's opened?",?,"Yes, but the magnet holds the lid in place instead of letting it fall so there's really no reason to cut your self.",Appliances
open-ended,B0002UMYDO,"Dec 14, 2010",1292313600.0,Why does amazon charge so much?,,im wondering the same thing,Appliances
open-ended,B0002UMYDO,"Dec 6, 2013",1386316800.0,Can this open a 32 oz can if crushed tomatoes or any other really wide can?,,Yes. I have not had a can I couldn't open.,Appliances
yes/no,B0002UMYDO,"Dec 19, 2013",1387440000.0,Does this opener hang onto the can after it is done opening it hands free?,Y,"Yes, the cans are secure. I have two of these. Very satisfied.",Appliances
yes/no,B0002UMYDO,"Dec 6, 2013",1386316800.0,Is this a smooth touch can opener where the lid doesn't fall into the can?,?,Our experience is that the magnet captures and holds the lid for every opening 100% of the time without fail.,Appliances
open-ended,B0002UMYDO,"Jan 13, 2013",1358064000.0,Does anyone know where I can get this can opener in RED?,,http://www.canopeners.biz,Appliances
open-ended,B0002UMYDO,"Mar 10, 2013",1362902400.0,Is the knife sharpener electric or manual?,,"Hi, Elizabet It is Electric Sharpner",Appliances
yes/no,B0002UMYDE,"Dec 2, 2013",1385971200.0,I'm looking for an electric can opener for my grandmother who has arthritis. Is this one that would be easy for her to use?,?,This can opener doesn't require any sustained pressure to open cans. Once you get the can started it will finish opening automatically.,Appliances
open-ended,B0002UMYDE,"Sep 7, 2013",1378537200.0,Can you clean the blade easily? I quit using our old one because I could not remove all the food crud. Best way to clean it?,,My wife says to take off the entire head assembly and hold it under running water. She also says that the drive gear catches on the paper of the can and to remove it prior to opening can. The lid also is difficult to pierce and the handle needs to be held down to get it going. She is not really satisfied with it actually.,Appliances
open-ended,B0002UMYDE,"Apr 16, 2014",1397631600.0,How long is the cord?,,Cord is 30 inches long.,Appliances
yes/no,B0002UMYDE,"Jan 31, 2014",1391155200.0,"I haven't purchase it yet, is the lid sharp after it's opened?",?,"Yes, but the magnet holds the lid in place instead of letting it fall so there's really no reason to cut your self.",Appliances
open-ended,B0002UMYDE,"Dec 14, 2010",1292313600.0,Why does amazon charge so much?,,im wondering the same thing,Appliances
open-ended,B0002UMYDE,"Dec 6, 2013",1386316800.0,Can this open a 32 oz can if crushed tomatoes or any other really wide can?,,Yes. I have not had a can I couldn't open.,Appliances
yes/no,B0002UMYDE,"Dec 19, 2013",1387440000.0,Does this opener hang onto the can after it is done opening it hands free?,Y,"Yes, the cans are secure. I have two of these. Very satisfied.",Appliances
yes/no,B0002UMYDE,"Dec 6, 2013",1386316800.0,Is this a smooth touch can opener where the lid doesn't fall into the can?,?,Our experience is that the magnet captures and holds the lid for every opening 100% of the time without fail.,Appliances
open-ended,B0002UMYDE,"Jan 13, 2013",1358064000.0,Does anyone know where I can get this can opener in RED?,,http://www.canopeners.biz,Appliances
open-ended,B0002UMYDE,"Mar 10, 2013",1362902400.0,Is the knife sharpener electric or manual?,,"Hi, Elizabet It is Electric Sharpner",Appliances
